dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
6df306da-31d0-47f5-bb1b-4b084d03d7f1	5822c01f-5702-4158-9436-baca1ac74dbb				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	112.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/304994	Mammalia	1837	1758			0.1	11131.95						1758	Happywhale - Blue whale in North Pacific Ocean	2020-12-05T14:42:15	1607126400000	1607126400000	1607126400000	2020	5	44.69115	-124.45287																2020-12-05T14:42:15			14:42:15		Balaenopteridae	136979					POINT(-124.45287 44.69115)					Balaenoptera	137013	EPSG:4326							2020-12-05T14:42:15													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			Oregon, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	12							WoRMS LSID		304994	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/304994"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""Two Blue whales encountered on a Oregon Pelagic Tour, heading North the whales came within 50 feet of boat.""}"	present	Cetartiodactyla	370511										Tye Jeske									Chordata			1821				1758_28879			EN			Tye Jeske					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				29455.0	Balaenoptera musculus	137090	musculus	30.4	11.84			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-12-05 14:42:15				Oregon, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	0899042d-4892-4fef-9c31-4a3ef03e1a7a				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	2501.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/individual/3306;enc=83542	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2019-09-15T14:24:56	1568505600000	1568505600000	1568505600000	2019	15	37.797611	-123.569172																2019-09-15T14:24:56			14:24:56		Balaenopteridae	136979					POINT(-123.569172 37.797611)					Balaenoptera	137013	EPSG:4326							2019-09-15T14:24:56													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	9							WoRMS LSID		83542	"Photo identification; {""catalog_number"":""https://happywhale.com/individual/3306;enc=83542"",""organism_id"":""https://happywhale.com/individual/3306"",""organism_name"":""CRC-Bm00544"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511	https://happywhale.com/individual/3306				This blue whale has been identified in collaboration with [**Cascadia Research Collective**](https://cascadiaresearch.org/)					Rhys Watkin									Chordata			1821				1758_310826			EN			Rhys Watkin					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				40671.0	Balaenoptera musculus	137090	musculus	33.0	12.47			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2019-09-15 14:24:56				California, United States				Blue whale			North Pacific Ocean		2019	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	f3f6282c-0130-49a8-a84f-3e300112bf05				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	250.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/individual/159524;enc=69543	Mammalia	1837	1758			0.1	11131.95						1758	Happywhale - Blue whale in North Pacific Ocean	2019-07-20T13:36:57	1563580800000	1563580800000	1563580800000	2019	20	37.66593	-123.088012																2019-07-20T13:36:57			13:36:57		Balaenopteridae	136979					POINT(-123.088012 37.66593)					Balaenoptera	137013	EPSG:4326							2019-07-20T13:36:57													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	7							WoRMS LSID		69543	"Photo identification; {""catalog_number"":""https://happywhale.com/individual/159524;enc=69543"",""organism_id"":""https://happywhale.com/individual/159524"",""organism_name"":""CRC-Bm01417"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511	https://happywhale.com/individual/159524				This blue whale has been identified in collaboration with [**Cascadia Research Collective**](https://cascadiaresearch.org/)					Rhys Watkin									Chordata			1821				1758_262885			EN			Rhys Watkin					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				7508.0	Balaenoptera musculus	137090	musculus	32.59	12.44			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2019-07-20 13:36:57				California, United States				Blue whale			North Pacific Ocean		2019	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	a546d15a-1fdd-4a37-8aa8-c94a3e4db2b2				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	212.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/143626	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2020-09-19T13:10:49	1600473600000	1600473600000	1600473600000	2020	19	37.32915	-122.86855																2020-09-19T13:10:49			13:10:49		Balaenopteridae	136979					POINT(-122.86855 37.32915)					Balaenoptera	137013	EPSG:4326							2020-09-19T13:10:49													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	9							WoRMS LSID		143626	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/143626"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""4 Blue Whales, along with approximately 20 Humpbacks and 1000 Pacific White-sided Dolphin traveling in general area""}"	present	Cetartiodactyla	370511										David Dovalina									Chordata			1821				1758_176119			EN			David Dovalina					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				37248.0	Balaenoptera musculus	137090	musculus	32.24	12.81			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-09-19 13:10:49				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	655cad11-2754-48f3-9287-101823b1f26a				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	162.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/145849	Mammalia	1837	1758			0.1	11131.95						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-17T11:12:56	1602892800000	1602892800000	1602892800000	2020	17	37.368133	-122.86225																2020-10-17T11:12:56			11:12:56		Balaenopteridae	136979					POINT(-122.86225 37.368133)					Balaenoptera	137013	EPSG:4326							2020-10-17T11:12:56													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		145849	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/145849"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""Blue Whale. Part of a pod of four to six individuals. Location pinned at the time of observation using GPS.""}"	present	Cetartiodactyla	370511										R.J. Adams									Chordata			1821				1758_92824			EN			R.J. Adams					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				34815.0	Balaenoptera musculus	137090	musculus	32.19	12.76			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-17 11:12:56				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	e491b5b7-7c69-421f-87b5-8b3a37e055b3				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	162.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/145850	Mammalia	1837	1758			0.1	11131.95						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-17T11:16:42	1602892800000	1602892800000	1602892800000	2020	17	37.368133	-122.86225																2020-10-17T11:16:42			11:16:42		Balaenopteridae	136979					POINT(-122.86225 37.368133)					Balaenoptera	137013	EPSG:4326							2020-10-17T11:16:42													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		145850	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/145850"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""Blue Whale. Part of a pod of 4-6 individuals. Location pinned at the time of observation using GPS.""}"	present	Cetartiodactyla	370511										R.J. Adams									Chordata			1821				1758_386231			EN			R.J. Adams					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				34815.0	Balaenoptera musculus	137090	musculus	32.19	12.76			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-17 11:16:42				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	6723622c-260e-4d73-a37e-21544007c819				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	92.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/143982	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-09T16:24:59	1602201600000	1602201600000	1602201600000	2020	9	37.4	-122.75																2020-10-09T16:24:59			16:24:59		Balaenopteridae	136979					POINT(-122.75 37.4)					Balaenoptera	137013	EPSG:4326							2020-10-09T16:24:59													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		143982	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/143982"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Mallory Emerson									Chordata			1821				1758_324797			EN			Mallory Emerson					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				24318.0	Balaenoptera musculus	137090	musculus	31.99	12.68			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-09 16:24:59				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	5efd0771-faca-49b2-833c-3ed5ad08d038				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	92.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/individual/157341;enc=143981	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-09T14:37:54	1602201600000	1602201600000	1602201600000	2020	9	37.4	-122.75																2020-10-09T14:37:54			14:37:54		Balaenopteridae	136979					POINT(-122.75 37.4)					Balaenoptera	137013	EPSG:4326							2020-10-09T14:37:54													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		143981	"Photo identification; {""catalog_number"":""https://happywhale.com/individual/157341;enc=143981"",""organism_id"":""https://happywhale.com/individual/157341"",""organism_name"":""CRC-Bm00838"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511	https://happywhale.com/individual/157341				This blue whale has been identified in collaboration with [**Cascadia Research Collective**](https://cascadiaresearch.org/)					Mallory Emerson									Chordata			1821				1758_134559			EN			Mallory Emerson					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				24318.0	Balaenoptera musculus	137090	musculus	31.99	12.68			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-09 14:37:54				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	59e1819f-8597-4114-a5e8-907ba4d389cb				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	92.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/143993	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-10T14:13:19	1602288000000	1602288000000	1602288000000	2020	10	37.4	-122.75																2020-10-10T14:13:19			14:13:19		Balaenopteridae	136979					POINT(-122.75 37.4)					Balaenoptera	137013	EPSG:4326							2020-10-10T14:13:19													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		143993	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/143993"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Mallory Emerson									Chordata			1821				1758_206664			EN			Mallory Emerson					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				24318.0	Balaenoptera musculus	137090	musculus	31.99	12.68			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-10 14:13:19				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
6df306da-31d0-47f5-bb1b-4b084d03d7f1	ba823208-5e65-4788-95f2-29af3c95f075				137090	[266, 274, 40003, 31908]				"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]"			HumanObservation	92.0			"[{""crossref"":{""citeinfo"":{""title"":""Happywhale encounters"",""title_html"":""Happywhale encounters"",""origin"":""Cheeseman, T. and K. Southerland"",""pubdate"":""2026"",""onlink"":""https:\/\/happywhale.com\/""}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115"			https://happywhale.com/encounter/143990	Mammalia	1837	1758			1	111319.49						1758	Happywhale - Blue whale in North Pacific Ocean	2020-10-10T14:19:23	1602288000000	1602288000000	1602288000000	2020	10	37.4	-122.75																2020-10-10T14:19:23			14:19:23		Balaenopteridae	136979					POINT(-122.75 37.4)					Balaenoptera	137013	EPSG:4326							2020-10-10T14:19:23													Identification Type: Photo Identification				1							Cetacea	2688	Gnathostomata	1828		Happywhale.com				Animalia	2							https://creativecommons.org/publicdomain/zero/1.0			California, United States					true							Tetrapoda	1831					2026-06-15 06:02:09	10							WoRMS LSID		143990	"Photo identification; {""catalog_number"":""https://happywhale.com/encounter/143990"",""organism_id"":""(unknown)"",""organism_name"":""(no name)"",""occurrence_remarks"":""(no remarks)""}"	present	Cetartiodactyla	370511										Mallory Emerson									Chordata			1821				1758_205675			EN			Mallory Emerson					Balaenoptera musculus	(Linnaeus, 1758)	urn:lsid:marinespecies.org:taxname:137090				24318.0	Balaenoptera musculus	137090	musculus	31.99	12.68			Theria	380416											Cetancodonta	370545	Vertebrata			146419													Biota	1	Mysticeti	148724							Species	"Taxon recorded as ""Blue Whale"" by the provider"	valid			Event									2020-10-10 14:19:23				California, United States				Blue whale			North Pacific Ocean		2020	Balaenoptera musculus	[NO_DEPTH]	false	false
